CustomerID,CustomerName,Email,Country,Age,PurchaseAmount,OrderDate
1879,,,Kenya,25,19557,2024-05-12
1000,,invalid_email,,68,5775,
1895,Alice,mary@yahoo.com,Rwanda,59,8210,2025-02-20
2326,,mary@yahoo.com,,48,,2024-01-01
1252,,,Tanzania,43,41190,2025-02-20
2674,Alice,mary@yahoo.com,Tanzania,35,45553,2025-02-20
1451,Peter,mary@yahoo.com,Tanzania,35,23583,
2059,Peter,john@gmail.com,Rwanda,24,24039,2025-02-20
2182,John,,Tanzania,65,23699,
2013,John,,,55,12766,
1007,,mary@yahoo.com,Rwanda,65,37294,
2255,Alice,mary@yahoo.com,Tanzania,33,40076,2024-01-01
2121,Mike,mary@yahoo.com,Kenya,150,11065,2025-02-20
2681,,invalid_email,Kenya,50,10330,2025-02-20
1814,Mike,,Uganda,68,48655,
1206,Alice,invalid_email,Tanzania,20,19557,2025-02-20
2153,John,,Tanzania,55,40076,2025-02-20
1402,,john@gmail.com,Rwanda,21,25951,
1150,,,Rwanda,53,14641,
1052,John,john@gmail.com,Tanzania,21,9574,
2142,Mike,,Uganda,59,18241,
2695,Mary,,Tanzania,26,13517,2024-01-01
2942,Mary,john@gmail.com,,57,43121,2025-02-20
1626,John,john@gmail.com,Rwanda,68,8671,2025-02-20
1585,Mary,john@gmail.com,Tanzania,34,25546,
2647,Jane,,Rwanda,34,39052,
2990,Alice,mary@yahoo.com,Tanzania,50,39199,2024-01-01
2442,Alice,john@gmail.com,,37,22503,
2444,John,,Rwanda,31,21618,
1102,Peter,,Uganda,39,11116,
2874,,invalid_email,,69,6496,2025-02-20
1252,Mike,invalid_email,,44,24039,2024-05-12
2249,John,,Tanzania,60,44231,2024-01-01
2134,Mary,mary@yahoo.com,,20,261,2024-01-01
1508,Mike,john@gmail.com,Rwanda,41,48133,2024-05-12
2495,Peter,,,47,22059,
1097,Mary,john@gmail.com,,25,17362,
1151,,,Uganda,39,9368,2024-01-01
2883,,invalid_email,Rwanda,42,45074,2024-05-12
1912,Jane,john@gmail.com,,27,16298,2025-02-20
2918,Mary,,,66,22062,2025-02-20
1876,Jane,mary@yahoo.com,,46,16123,
1336,Mike,,,57,306,2024-01-01
2728,Jane,mary@yahoo.com,,-5,39052,
1820,Mike,john@gmail.com,Kenya,18,3727,2024-01-01
2185,Mike,john@gmail.com,Tanzania,69,22399,2025-02-20
2742,Mike,mary@yahoo.com,Rwanda,38,37294,2024-01-01
1955,Mike,invalid_email,Rwanda,56,-100,2025-02-20
2703,Mike,,Rwanda,41,22076,2024-05-12
1159,Mary,,,26,11494,2024-05-12
2602,Mike,,,61,11065,2025-02-20
1799,Mary,,Tanzania,-5,23997,
1396,Mike,john@gmail.com,Uganda,43,33259,
2299,Jane,,Rwanda,26,22062,2024-01-01
1814,,,,37,32068,2025-02-20
2938,Mike,,Tanzania,52,44517,
2526,Peter,mary@yahoo.com,Tanzania,53,13517,
2918,Mike,john@gmail.com,Kenya,59,48655,
2414,Mike,,,53,1116,2024-05-12
2157,Jane,invalid_email,Rwanda,-5,38760,
2217,,john@gmail.com,,26,45251,
1399,Alice,john@gmail.com,Tanzania,39,48655,
1638,Jane,,Tanzania,18,22399,2025-02-20
2055,Peter,invalid_email,Uganda,22,22762,2025-02-20
1686,Alice,mary@yahoo.com,Kenya,26,19557,2024-05-12
1458,John,,Tanzania,54,48802,2024-01-01
1953,John,invalid_email,Tanzania,55,39288,
2905,,john@gmail.com,,36,19215,2024-01-01
1468,Peter,invalid_email,,25,24400,2025-02-20
2397,Jane,john@gmail.com,Uganda,59,45858,
2044,Mary,,,60,8533,2024-01-01
1748,Peter,,Uganda,49,17775,2024-01-01
2692,,,Uganda,30,14086,
1036,Alice,,,37,44362,2025-02-20
1228,Alice,,,53,,2024-05-12
2387,Mike,,,60,17668,2024-05-12
1561,John,mary@yahoo.com,Kenya,61,3656,
1436,,,Rwanda,54,47816,2024-01-01
2798,Alice,invalid_email,Rwanda,47,34866,
2305,Peter,,Kenya,27,11494,
1025,Alice,,Rwanda,48,27366,2025-02-20
1224,,john@gmail.com,,42,1121,
2299,,john@gmail.com,,46,16950,2024-01-01
1796,,john@gmail.com,Rwanda,41,39453,2024-05-12
2631,Peter,,,56,35322,2024-05-12
1282,Mary,mary@yahoo.com,,38,28793,
1877,Mike,invalid_email,,58,-100,
1958,John,invalid_email,Kenya,26,43121,
2503,Alice,mary@yahoo.com,Uganda,59,49025,2024-01-01
1451,Peter,mary@yahoo.com,Kenya,59,32662,
2018,Jane,invalid_email,Rwanda,19,38760,
2851,John,,,21,43121,
1814,Mary,john@gmail.com,,25,18531,2024-01-01
1657,Peter,john@gmail.com,Rwanda,49,8629,2025-02-20
2538,,invalid_email,Rwanda,31,31651,2025-02-20
1545,,mary@yahoo.com,Uganda,66,32582,
2214,Mike,,Rwanda,30,43685,2024-05-12
2071,Mike,invalid_email,Uganda,38,22062,2025-02-20
2534,Mary,john@gmail.com,,41,22062,2024-01-01
1015,Mary,,,67,28793,2024-05-12
2194,Mike,mary@yahoo.com,,35,763,
2242,Alice,,Uganda,62,28121,2024-01-01
1156,Alice,invalid_email,Kenya,57,29420,2024-05-12
1475,Peter,john@gmail.com,,43,45858,2025-02-20
2068,Jane,,,49,40394,
2395,Peter,,Kenya,61,22461,
1516,Jane,,,150,18241,2024-01-01
1097,Mary,john@gmail.com,,,44120,
2914,John,,,50,-100,2024-05-12
2767,Peter,,,69,11753,
2059,Peter,,Tanzania,48,32068,2025-02-20
1278,Jane,,Rwanda,35,21618,2024-01-01
2371,,john@gmail.com,Rwanda,52,10727,
1495,Mary,,Kenya,29,5411,
1300,Mary,invalid_email,Rwanda,68,40857,2024-01-01
1179,,,Kenya,42,2847,2024-05-12
1605,,mary@yahoo.com,,62,40394,2025-02-20
2121,Jane,mary@yahoo.com,Tanzania,48,33370,2024-01-01
1698,Mary,john@gmail.com,Tanzania,27,8892,
1991,,invalid_email,,64,27366,
2138,Mike,,,69,32068,2024-01-01
1189,,mary@yahoo.com,Uganda,51,17512,
1251,Alice,john@gmail.com,Uganda,68,16950,2024-01-01
1979,,invalid_email,Rwanda,20,15807,2024-01-01
1926,Mike,invalid_email,,63,5630,2025-02-20
2183,John,john@gmail.com,Kenya,56,17259,2024-01-01
2278,Peter,john@gmail.com,Tanzania,25,43121,
2345,,,Rwanda,49,25546,
1126,John,john@gmail.com,,60,44832,2025-02-20
1016,Peter,,,46,30403,
2815,Alice,,Tanzania,39,16298,
2757,,,Kenya,37,12285,2025-02-20
1564,Mary,invalid_email,Kenya,23,4043,2025-02-20
1568,Mike,invalid_email,Uganda,60,3727,
2345,Jane,invalid_email,Rwanda,66,49180,
2894,Mike,,,46,1778,2024-05-12
1684,Alice,,Tanzania,59,3661,
2814,John,,Kenya,34,3656,2025-02-20
1624,Jane,john@gmail.com,Tanzania,48,38258,2024-01-01
2310,Mary,,,,41190,2024-01-01
2965,Alice,john@gmail.com,Tanzania,51,2793,2025-02-20
1852,Jane,,Rwanda,55,17362,2025-02-20
2685,Alice,john@gmail.com,Uganda,54,8094,2024-05-12
1960,,mary@yahoo.com,Tanzania,21,33863,2025-02-20
2661,Alice,invalid_email,,19,37294,2024-01-01
1153,Mary,invalid_email,Uganda,29,24353,
1488,,,,52,22062,2025-02-20
2408,Peter,mary@yahoo.com,Uganda,23,22399,2024-05-12
1783,Jane,invalid_email,Tanzania,63,11634,
2126,,,Tanzania,25,19215,2024-05-12
2951,Mary,mary@yahoo.com,,38,22503,
2415,Alice,invalid_email,Kenya,,21877,2025-02-20
2833,,john@gmail.com,,63,14602,2024-01-01
1244,Mary,,Tanzania,52,39453,
2198,,mary@yahoo.com,Uganda,65,44120,
2061,,,,32,9368,2024-05-12
2499,,mary@yahoo.com,,24,32706,
2704,Peter,,Kenya,32,17259,2024-05-12
1757,Mike,mary@yahoo.com,Tanzania,62,29823,2024-01-01
1536,Jane,,Tanzania,23,49316,2024-05-12
2889,Peter,invalid_email,,64,49084,2024-05-12
2840,John,john@gmail.com,Kenya,34,41094,
1919,Jane,invalid_email,,21,2668,2024-05-12
1406,Peter,john@gmail.com,,39,45251,
1523,Alice,invalid_email,,49,47291,2024-05-12
1826,Jane,invalid_email,Rwanda,39,8892,2025-02-20
2528,Jane,mary@yahoo.com,,44,47816,2024-05-12
1901,Mary,,,63,23519,2025-02-20
2847,Alice,,Uganda,32,43041,2024-05-12
1034,John,,,61,47816,2024-05-12
1683,Mike,,,68,39288,
1018,,john@gmail.com,Tanzania,39,40497,2025-02-20
1319,,,Rwanda,45,9368,2025-02-20
2798,Peter,,,59,15895,
1510,Mary,mary@yahoo.com,Tanzania,55,47816,2024-05-12
1398,Peter,invalid_email,Kenya,26,19042,2024-05-12
1652,John,,Kenya,51,960,
1970,,,Tanzania,53,1406,
2905,John,,Uganda,26,25546,
1469,Jane,john@gmail.com,Tanzania,32,39288,
2165,,john@gmail.com,Tanzania,62,22461,2025-02-20
2114,John,john@gmail.com,Rwanda,37,44362,2024-01-01
2376,Peter,,Kenya,25,22762,
1832,Alice,mary@yahoo.com,Kenya,45,41094,2025-02-20
2822,Alice,,,68,44517,
1725,Jane,,,36,22059,
2981,Mike,mary@yahoo.com,Tanzania,33,30180,2024-01-01
1852,Peter,mary@yahoo.com,Tanzania,28,40076,2024-05-12
1049,Peter,,Uganda,59,10330,
2687,John,,Kenya,25,3848,2024-01-01
2720,,mary@yahoo.com,Uganda,50,26039,2024-01-01
1573,Peter,mary@yahoo.com,Rwanda,27,40442,
2212,Mary,mary@yahoo.com,,35,40394,2025-02-20
2147,Mike,,Uganda,52,14641,
1148,John,mary@yahoo.com,Kenya,60,2795,
1312,Mary,john@gmail.com,Rwanda,67,43041,2024-01-01
1568,Jane,,Tanzania,20,45858,2024-01-01
2364,Alice,john@gmail.com,Rwanda,57,1116,2024-05-12
1303,Jane,invalid_email,,44,11116,2024-01-01
2714,Alice,,Uganda,45,26205,2024-05-12
1680,Jane,invalid_email,Kenya,63,29567,2024-01-01
1836,Peter,mary@yahoo.com,Uganda,23,12285,2024-01-01
2805,Mary,mary@yahoo.com,Tanzania,64,11384,
2076,Alice,,Tanzania,31,17775,
2001,John,mary@yahoo.com,Kenya,24,-100,
1442,Mary,invalid_email,,27,-100,2025-02-20
1611,John,mary@yahoo.com,,32,1406,
1991,Mary,,Rwanda,48,14641,2024-01-01
1262,Mary,mary@yahoo.com,Rwanda,46,29420,
2075,Jane,,Tanzania,59,21343,
2594,Alice,mary@yahoo.com,Uganda,-5,11494,2024-01-01
2002,Alice,invalid_email,Uganda,34,25546,2024-01-01
2642,,invalid_email,,68,30180,
1003,Mary,mary@yahoo.com,,46,46799,2024-05-12
2125,Peter,invalid_email,Uganda,66,26954,2025-02-20
2218,Peter,invalid_email,Rwanda,61,14920,
1772,John,,Uganda,32,41190,
1875,John,,,43,14139,2025-02-20
1990,Jane,,Rwanda,29,12766,2024-01-01
1882,Mary,john@gmail.com,Uganda,42,18241,2024-01-01
2372,John,,Rwanda,58,21343,2024-05-12
1045,John,mary@yahoo.com,Tanzania,22,2795,
1865,Mike,,Tanzania,21,41094,2025-02-20
1821,Mary,mary@yahoo.com,,61,43423,
1934,,john@gmail.com,Tanzania,65,1685,
2842,Jane,,Uganda,58,3404,
1654,John,invalid_email,,48,5630,
1267,Jane,,Rwanda,20,17259,
1368,Alice,mary@yahoo.com,Kenya,,3656,
1634,Jane,john@gmail.com,Tanzania,20,3656,2025-02-20
2128,,invalid_email,Tanzania,43,1785,2024-01-01
2692,Peter,,Kenya,67,40076,2024-05-12
2681,,invalid_email,Kenya,34,26205,
1655,Peter,,Uganda,27,2795,2024-01-01
1118,Jane,,Rwanda,19,21877,2025-02-20
1829,Peter,invalid_email,Tanzania,41,15895,
2809,Alice,invalid_email,,28,6496,2025-02-20
2626,Mary,invalid_email,Uganda,41,34866,2025-02-20
2080,Peter,,Uganda,52,18531,
2973,Peter,john@gmail.com,,40,13873,2024-05-12
2368,Jane,,,49,43041,
1739,Alice,invalid_email,,40,32068,
2496,,,,51,37919,
1115,,john@gmail.com,Kenya,58,763,
2852,,,Tanzania,36,32662,
1789,,,,19,11116,2024-05-12
2149,Mary,,Kenya,68,8533,2024-01-01
2415,,invalid_email,,19,8492,2024-05-12
2930,Jane,john@gmail.com,Tanzania,32,41706,
2011,Jane,,,38,6365,2025-02-20
2663,Mike,john@gmail.com,Kenya,52,48655,2024-01-01
2080,Alice,invalid_email,Rwanda,22,41534,2025-02-20
1632,,john@gmail.com,Tanzania,60,40874,2024-05-12
1511,Mary,john@gmail.com,Uganda,44,11753,2024-01-01
2773,Alice,mary@yahoo.com,Tanzania,41,27366,
1800,,john@gmail.com,Tanzania,24,8094,2025-02-20
2118,Mary,,Tanzania,23,37294,
2660,Alice,,Rwanda,63,41706,
2140,Jane,mary@yahoo.com,Kenya,50,3661,2024-01-01
1558,Jane,,Uganda,66,10727,2025-02-20
2623,,,Kenya,34,1116,2024-05-12
1486,John,invalid_email,,63,30918,2024-05-12
2259,,invalid_email,,59,,2024-05-12
2907,Peter,mary@yahoo.com,,47,27366,2024-05-12
1895,,invalid_email,Kenya,25,44832,2025-02-20
2294,,invalid_email,,57,14086,
2211,Mike,invalid_email,Rwanda,63,39199,2024-05-12
1702,Alice,,,24,32582,2024-05-12
2469,Mike,mary@yahoo.com,,23,8671,2024-05-12
1579,John,,Rwanda,21,41094,
1788,Peter,,Kenya,18,10330,2024-01-01
1859,Alice,,,32,8094,2024-05-12
1245,Mary,,Kenya,48,38258,2024-05-12
2985,,john@gmail.com,Rwanda,42,28793,2024-05-12
2098,Peter,john@gmail.com,Kenya,64,44517,2024-01-01
1152,Jane,,Kenya,50,41094,2024-05-12
2678,John,,Uganda,69,37919,2024-01-01
2457,Peter,,,52,16298,2024-01-01
1995,,,,150,44362,
2108,,mary@yahoo.com,,22,30635,
1695,Peter,john@gmail.com,Tanzania,22,24376,2024-05-12
2307,,john@gmail.com,Uganda,53,42657,2025-02-20
2996,,,,34,289,
2242,Jane,invalid_email,,,40497,
2091,Alice,invalid_email,,69,43673,2025-02-20
2069,Mary,,,31,47291,
2007,Jane,mary@yahoo.com,,46,17775,2024-05-12
1092,,invalid_email,Uganda,25,26631,
2772,,,Kenya,51,2712,
1956,Mary,mary@yahoo.com,,57,30918,2024-01-01
2010,Alice,mary@yahoo.com,,18,45553,2024-01-01
1451,Peter,,Kenya,46,17259,2024-05-12
2226,Mary,mary@yahoo.com,,53,13645,2025-02-20
1910,John,invalid_email,Rwanda,68,25951,2024-01-01
1216,John,invalid_email,Tanzania,54,45553,
1472,,,,46,22062,2024-05-12
1430,Jane,,Rwanda,22,2127,
1339,,mary@yahoo.com,Uganda,,33927,2024-05-12
1549,Alice,john@gmail.com,Rwanda,49,41706,2024-01-01
2634,,,Uganda,69,7010,2025-02-20
2311,Jane,john@gmail.com,,41,16298,
2276,Jane,mary@yahoo.com,Uganda,36,38760,2025-02-20
2756,,mary@yahoo.com,Rwanda,29,43673,2024-05-12
1355,Mike,john@gmail.com,Tanzania,69,47291,2025-02-20
1021,Jane,,Kenya,18,13167,2025-02-20
2784,Mike,john@gmail.com,Kenya,24,33927,2024-05-12
1520,John,,Tanzania,34,24353,
2780,John,invalid_email,,51,3848,2025-02-20
2859,Jane,,Kenya,60,42657,2025-02-20
2122,John,invalid_email,,24,306,2024-05-12
1800,Alice,mary@yahoo.com,,34,17512,
2202,Mike,,,20,45858,2025-02-20
2245,Mike,john@gmail.com,Rwanda,46,49180,2024-01-01
2928,Jane,,Rwanda,39,41706,
1760,John,john@gmail.com,,55,44362,2025-02-20
2681,Mary,,,-5,41190,2024-05-12
1440,,,,60,26631,2024-01-01
2630,,john@gmail.com,,46,13517,2024-05-12
1767,,,Uganda,67,22059,2025-02-20
2014,Mike,john@gmail.com,,67,14602,2024-01-01
2347,Jane,mary@yahoo.com,,-5,22059,
1514,Jane,,Rwanda,59,31651,
2038,Alice,mary@yahoo.com,,22,3727,
1790,Peter,,Rwanda,47,25951,
1334,,,Kenya,40,30403,2024-05-12
2781,Peter,invalid_email,Uganda,150,1367,2025-02-20
1256,Mike,mary@yahoo.com,Uganda,38,33863,2024-01-01
1495,,mary@yahoo.com,,43,45858,2024-05-12
1894,Alice,invalid_email,,-5,44231,2025-02-20
1158,Alice,,Rwanda,64,26954,
2497,Alice,mary@yahoo.com,Kenya,38,19042,2025-02-20
1850,Mike,john@gmail.com,Rwanda,37,43101,2024-05-12
2686,Peter,invalid_email,,40,27580,2025-02-20
2930,,mary@yahoo.com,,21,37919,2024-01-01
1688,Alice,,Tanzania,38,19042,
2697,,mary@yahoo.com,Rwanda,38,17259,2024-01-01
1378,John,,,18,45074,
2567,Jane,john@gmail.com,Rwanda,32,35322,
2951,Jane,invalid_email,Uganda,34,19869,2025-02-20
1955,,,Kenya,68,3848,2024-01-01
1689,Mary,,,31,8492,
2449,Mary,,Tanzania,36,2793,
2635,Mike,,Kenya,67,35322,2025-02-20
2290,Mike,,Kenya,51,36020,2024-05-12
2857,Jane,,Uganda,23,44362,2024-05-12
2599,John,invalid_email,Uganda,62,17259,
2439,,mary@yahoo.com,Uganda,66,22503,
2190,Peter,,,23,38258,
2864,Peter,invalid_email,Rwanda,,33927,2024-05-12
2065,Mike,mary@yahoo.com,Kenya,-5,32582,
2578,John,mary@yahoo.com,Rwanda,22,6365,2024-01-01
1283,Mike,,Rwanda,24,39288,2024-05-12
1395,,invalid_email,Uganda,50,24400,2024-05-12
1010,Peter,,Rwanda,30,8492,2024-05-12
2629,,,Kenya,68,18147,
2324,Mike,mary@yahoo.com,Kenya,-5,30918,2025-02-20
2920,Alice,,,18,7010,2025-02-20
2275,,mary@yahoo.com,Tanzania,30,46676,
1497,,invalid_email,,60,6876,
1752,,john@gmail.com,Rwanda,44,261,
1033,Mike,,,24,8533,2025-02-20
1725,Jane,,,69,23347,
1847,Mike,mary@yahoo.com,,20,18531,
1088,Jane,invalid_email,,42,43121,
1774,,,,50,13873,
1603,John,invalid_email,,57,35322,2024-01-01
2944,,,Kenya,34,7010,2025-02-20
1968,Peter,,Rwanda,62,30635,
2624,,invalid_email,,31,4043,2025-02-20
2020,,john@gmail.com,Tanzania,54,5411,2025-02-20
1416,Mary,mary@yahoo.com,,-5,1367,2024-01-01
1113,Mary,invalid_email,Tanzania,40,17668,2025-02-20
1615,,invalid_email,Kenya,41,-100,
2925,Peter,john@gmail.com,Kenya,46,2793,2024-05-12
2218,Mary,,Uganda,55,10727,
1824,,mary@yahoo.com,,-5,47291,
2523,Mike,invalid_email,Uganda,44,8671,2025-02-20
2648,John,,Tanzania,55,43789,
2515,John,invalid_email,Rwanda,,8492,2024-05-12
2097,Peter,mary@yahoo.com,Uganda,57,16298,2025-02-20
1411,,invalid_email,Kenya,62,42630,
2398,Mary,john@gmail.com,,67,5630,
2442,Mike,invalid_email,Tanzania,40,38760,
1727,John,invalid_email,,48,763,2024-01-01
2299,John,,Kenya,53,33259,
2019,Alice,john@gmail.com,,34,22102,
1759,,john@gmail.com,Rwanda,54,6973,2024-05-12
1674,Alice,invalid_email,,20,22076,
2416,,,Rwanda,53,24376,2024-01-01
2891,John,invalid_email,Rwanda,150,38258,2024-05-12
1455,Peter,invalid_email,,22,43121,
1918,Jane,mary@yahoo.com,,63,29823,2024-05-12
1190,Jane,mary@yahoo.com,,32,25758,
1737,Mike,,Rwanda,69,25546,
2711,John,,Tanzania,66,2793,
2121,John,mary@yahoo.com,,23,37294,
2570,,,,27,45074,
1976,John,john@gmail.com,Kenya,-5,12285,
2007,Peter,mary@yahoo.com,,49,25546,2025-02-20
1094,Alice,mary@yahoo.com,Uganda,40,5630,2024-01-01
2686,John,,Tanzania,65,22762,2024-05-12
1661,John,,,34,29227,2024-05-12
2212,,mary@yahoo.com,,63,2127,2025-02-20
2758,,mary@yahoo.com,,37,24400,
1035,Mary,,Tanzania,61,43423,2024-01-01
2802,,,Uganda,58,23997,2025-02-20
2391,,,,32,1121,2025-02-20
2717,,john@gmail.com,,61,40076,2024-05-12
2547,,john@gmail.com,Rwanda,63,960,
1277,Peter,invalid_email,Kenya,39,10330,
1215,Mike,mary@yahoo.com,,67,40076,
1865,John,,,69,24039,
1871,,mary@yahoo.com,,23,23519,2025-02-20
2820,,,,21,37165,
2295,Mary,,Uganda,40,2668,
2903,,,Kenya,61,3661,2024-01-01
1060,Jane,mary@yahoo.com,,62,5358,2024-05-12
1594,Mike,,Tanzania,36,869,
2902,John,mary@yahoo.com,,-5,1785,
1727,John,,Rwanda,62,42657,2024-05-12
2364,Mary,invalid_email,Tanzania,48,43685,2024-05-12
1395,Peter,john@gmail.com,,61,19042,2025-02-20
1697,John,,Uganda,69,23347,
2041,Jane,invalid_email,Kenya,20,22062,2025-02-20
1175,John,,Kenya,45,17668,2024-05-12
2634,Jane,,,20,29420,2025-02-20
1394,Mike,invalid_email,Tanzania,31,29227,
1443,Mike,,Rwanda,35,23876,
2255,Alice,mary@yahoo.com,Uganda,44,14641,2024-01-01
2937,Alice,invalid_email,,68,41623,
1074,Jane,mary@yahoo.com,Uganda,27,2668,2024-05-12
1263,Peter,mary@yahoo.com,Kenya,66,26657,
1453,John,invalid_email,,32,7010,2025-02-20
2818,,john@gmail.com,,36,13517,
1716,John,invalid_email,Rwanda,26,39288,
1733,Alice,john@gmail.com,Uganda,21,22102,
2406,,,,32,30403,
2586,,,Rwanda,68,29823,2025-02-20
1849,Jane,invalid_email,Tanzania,65,32068,2024-01-01
2528,,,,25,29823,
2389,,,,66,44231,2024-05-12
1142,John,mary@yahoo.com,Uganda,,2712,2025-02-20
1883,John,mary@yahoo.com,Rwanda,18,24638,2025-02-20
2091,Peter,john@gmail.com,,24,40497,
2121,Mary,,Rwanda,,40394,
1394,,john@gmail.com,Rwanda,48,17259,
2047,Alice,mary@yahoo.com,Rwanda,35,5411,
1946,,mary@yahoo.com,Uganda,29,13645,
1889,,,,65,21934,2024-05-12
2491,,,Kenya,47,27580,
2506,Alice,,Kenya,50,45251,
2587,Mary,,Uganda,64,43101,2024-01-01
2173,John,,Uganda,24,24376,
2166,Peter,john@gmail.com,,45,39453,2024-05-12
1567,Peter,,Rwanda,66,16950,
2061,Alice,,,20,23519,
1107,Peter,,,60,44231,2025-02-20
2715,,john@gmail.com,Tanzania,23,16123,2025-02-20
2064,Mike,john@gmail.com,Tanzania,48,38760,
2208,Mary,john@gmail.com,Kenya,55,27366,
1933,John,john@gmail.com,Tanzania,32,27366,
1396,Mike,invalid_email,Tanzania,24,5156,2024-01-01
2245,Mary,,Kenya,60,14920,
1632,Jane,mary@yahoo.com,,47,17259,
2155,,,Kenya,44,45074,
2185,Alice,invalid_email,Tanzania,34,29420,
2237,,john@gmail.com,,150,29227,
1731,Peter,invalid_email,Tanzania,35,21371,
1233,Jane,,Rwanda,39,49316,2025-02-20
2865,Peter,,Rwanda,,42630,2024-05-12
1656,Mike,,Rwanda,43,289,2024-05-12
1749,John,,,68,27580,
1586,John,mary@yahoo.com,Uganda,44,,
2031,John,mary@yahoo.com,Rwanda,57,8210,2024-01-01
2096,,,,41,14139,
1952,Peter,john@gmail.com,,69,2668,2024-01-01
1490,Jane,invalid_email,Uganda,25,44362,2025-02-20
1911,John,mary@yahoo.com,Uganda,38,6973,2024-05-12
2275,Jane,mary@yahoo.com,Rwanda,46,6474,2025-02-20
